ba,drought_id,datetime_utc,drought_duration,severity_ws,severity_hws,severity_mwh,wind_gen_mwh,solar_gen_mwh,hydro_gen_mwh,year,month,wind_cf,solar_cf,hydro_cf,solar_s,wind_s,hydro_s,worst_index
PGE,02_004,2019-10-01T00:00:00Z,2,0.8255,0.7116,58306646.6858,145766642,22286618.1,313634.8853,2019,10,0.2209,0.1379,0.3174,-0.4829,-1.168,-0.4838,2
PSCO,01_007,2001-02-01T00:00:00Z,1,0.6348,0.7903,85990929.3638,773842325.5,85806099.5,5773.6791,2001,2,0.2748,0.2465,0.2207,-0.6918,-0.5779,-1.1014,3
PSEI,01_005,1985-12-01T00:00:00Z,1,1.6002,1.1726,30783197.275,23927447,51402.5,81756.6457,1985,12,0.0877,0.1382,0.3173,-1.0914,-2.1091,-0.3172,4
PSEI,05_001,2000-10-01T00:00:00Z,5,1.0287,0.9572,83412935.8239,190172485.3156,293806.8284,339789.1357,2000,10,0.1258,0.1482,0.2715,-0.841,-1.2163,-0.8144,1
PSEI,05_001,2000-10-01T00:00:00Z,5,1.0287,0.9572,83412935.8239,190172485.3156,293806.8284,339789.1357,2000,10,0.1258,0.1482,0.2715,-0.841,-1.2163,-0.8144,3
SRP,01_002,1985-12-01T00:00:00Z,1,1.371,1.3956,11527087.8338,4150188,40797718.2,4615.415,1985,12,0.0885,0.2117,0.0692,-1.1967,-1.5453,-1.445,4
SRP,02_006,2000-11-01T00:00:00Z,2,1.0027,1.1086,17741898.0932,11418309,83789022.6,9989.2044,2000,11,0.1239,0.221,0.0759,-0.9621,-1.0434,-1.3202,1
SRP,02_011,2019-11-01T00:00:00Z,2,1.4308,1.4713,26040414.851,11604663,75305725.6,8415.4466,2019,11,0.1259,0.1986,0.0643,-1.8888,-0.9727,-1.5525,2
SWPP,01_004,1986-12-01T00:00:00Z,1,1.7739,1.3458,1431482161.9023,5143325245.6,51305846.4,666397.0053,1986,12,0.2888,0.1761,0.291,-2.2932,-1.2546,-0.4895,5
SWPP,01_017,2001-02-01T00:00:00Z,1,0.7004,0.6816,121784286.5211,6444459528.2,59896882.8,638953.3864,2001,2,0.4006,0.2276,0.3089,-1.043,-0.3578,-0.6439,3
WALC,01_002,1985-12-01T00:00:00Z,1,0.9003,0.8239,9495775.8799,61250700,16963193.5,707337.9585,1985,12,0.2352,0.1725,0.2503,-1.3172,-0.4834,-0.6711,4
WALC,01_022,2001-02-01T00:00:00Z,1,0.9088,0.7691,16441054.0982,52869250,18380724.6,725978.6403,2001,2,0.2248,0.2069,0.2845,-0.8385,-0.9791,-0.4895,3
WALC,02_007,2019-11-01T00:00:00Z,2,1.4077,1.4965,34860723.6375,109301850,31469240,1202201.0394,2019,11,0.2133,0.1627,0.2166,-1.9482,-0.8672,-1.6741,2
